gameCover	gameGenre	gamePhrase	gamePlatform	gameRating	gameReview	gameTitle	gameCoverID
http://assets1.ignimgs.com/2016/06/13/super-hot-genericjpg-c1f4f5_160h.jpg	Action	Amazing	PlayStation 4	9.0	http://www.ign.com/articles/2017/08/04/superhot-vr-review	Superhot VR	411
http://assets1.ignimgs.com/2016/09/26/sundered1jpg-fe1582_160h.jpg	Adventure	Good	PlayStation 4	7.8	http://www.ign.com/articles/2017/07/27/sundered-review	Sundered	412
http://assets2.ignimgs.com/2016/04/19/pyre-buttonjpg-684979_160h.jpg	RPG	Amazing	PlayStation 4	9.7	http://www.ign.com/articles/2017/07/24/pyre-review	Pyre	413
http://assets1.ignimgs.com/2016/03/22/black-the-fall-buttonjpg-0d8aff_160h.jpg	Action,Platformer	Okay	PlayStation 4	6.5	http://www.ign.com/articles/2017/07/20/black-the-fall-review	Black The Fall	414
http://assets1.ignimgs.com/2017/07/28/final-fantasy-xii-the-zodiac-age-t-1501275836668_160h.jpg	RPG	Great	PlayStation 4	8.8	http://www.ign.com/articles/2017/07/10/final-fantasy-xii-the-zodiac-age-review	Final Fantasy XII: The Zodiac Age	415
http://assets2.ignimgs.com/2015/08/03/elite-dangerous-buttonjpg-434e81_160h.jpg	Action	Good	PlayStation 4	7.5	http://www.ign.com/articles/2017/07/07/elite-dangerous-ps4-review	Elite: Dangerous	416
http://assets1.ignimgs.com/2016/06/13/crash-generic-2jpg-9d0e57_160h.jpg	Platformer	Great	PlayStation 4	8.5	http://www.ign.com/articles/2017/06/29/crash-bandicoot-n-sane-trilogy-review	Crash Bandicoot N. Sane Trilogy	417
http://assets1.ignimgs.com/2017/07/28/valkyria-revolution-esrb-t-1501276013609_160h.jpg	RPG	Okay	PlayStation 4	6.0	http://www.ign.com/articles/2017/06/26/valkyria-revolution-review	Valkyria Revolution	418
http://assets1.ignimgs.com/2016/12/07/nex-machina-button-1-1481071321785_160h.jpg	Shooter	Great	PlayStation 4	8.0	http://www.ign.com/articles/2017/06/23/nex-machina-review	Nex Machina	419
http://assets1.ignimgs.com/2017/01/26/dirt-4---button-1485449677908_160h.jpg	Racing	Amazing	PlayStation 4	9.2	http://www.ign.com/articles/2017/06/06/dirt-4-review	Dirt 4	3
http://assets1.ignimgs.com/2014/07/14/tekken-7-roughbuttonjpg-6e5558_160h.jpg	Fighting	Amazing	PlayStation 4	9.5	http://www.ign.com/articles/2017/05/31/tekken-7-review	Tekken 7	420
http://assets1.ignimgs.com/2017/03/14/startrekbridgecrewfinalps4-1489532155053_160h.jpg	Simulation,Adventure	Okay	PlayStation 4	6.8	http://www.ign.com/articles/2017/06/01/star-trek-bridge-crew-review	Star Trek: Bridge Crew	421
http://assets1.ignimgs.com/2017/04/26/danger-zone-1493225830013_160h.jpg	Racing	Okay	PlayStation 4	6.9	http://www.ign.com/articles/2017/06/01/danger-zone-review	Danger Zone	422
http://assets2.ignimgs.com/2013/08/22/rimetempjpg-e93e02_160h.jpg	Adventure	Okay	PlayStation 4	6.5	http://www.ign.com/articles/2017/05/26/rime-review	Rime	423
http://assets2.ignimgs.com/2015/05/26/perceptiondolljpg-ef26de_160h.jpg	Adventure	Bad	PlayStation 4	4.8	http://www.ign.com/articles/2017/05/25/perception-review	Perception	4
http://assets2.ignimgs.com/2016/11/08/farpoint-us-esrb-ps4jpg-f9b4ac_160h.jpg	Adventure	Good	PlayStation 4	7.5	http://www.ign.com/articles/2017/05/17/farpoint-review	Farpoint	424
http://assets2.ignimgs.com/2016/06/08/injustice-2-button-0jpg-c1f3e7_160h.jpg	Fighting	Amazing	PlayStation 4	9.0	http://www.ign.com/articles/2017/05/16/injustice-2-review	Injustice 2	5
http://assets2.ignimgs.com/2015/08/07/the-surge-button-2jpg-67c17d_160h.jpg	Action,RPG	Good	PlayStation 4	7.9	http://www.ign.com/articles/2017/05/15/the-surge-review	The Surge	6
http://assets1.ignimgs.com/2017/03/21/prey-ps4-1490134873821_160h.jpg	Shooter	Great	PlayStation 4	8.0	http://www.ign.com/articles/2017/05/13/prey-review-2	Prey	425
http://assets1.ignimgs.com/2014/12/16/sniper-ghost-warrior-3-buttonjpg-886cd3_160h.jpg	Shooter	Mediocre	PlayStation 4	5.5	http://www.ign.com/articles/2017/04/27/sniper-ghost-warrior-3-review	Sniper: Ghost Warrior 3	426
http://tvmedia.ign.com/tv/image/object/162/162999/Edith-Finch_LOGOboxart_160h.jpg	Adventure	Great	PlayStation 4	8.8	http://www.ign.com/articles/2017/04/26/what-remains-of-edith-finch-review	What Remains of Edith Finch	427
http://assets2.ignimgs.com/2016/08/17/little-nightmares-button-2jpg-fe4425_160h.jpg	Adventure	Great	PlayStation 4	8.8	http://www.ign.com/articles/2017/04/26/little-nightmares-review	Little Nightmares	10
http://assets1.ignimgs.com/2017/03/21/dragonquestheroesii-1490135001567_160h.jpg	RPG	Good	PlayStation 4	7.5	http://www.ign.com/articles/2017/04/24/dragon-quest-heroes-2-review	Dragon Quest Heroes II	428
http://assets1.ignimgs.com/2017/01/13/ps4-puyopuyotetris-rgb-front-1484329530595_160h.jpg	Puzzle	Great	PlayStation 4	8.7	http://www.ign.com/articles/2017/04/24/puyo-puyo-tetris-review	Puyo Puyo Tetris	429
http://assets1.ignimgs.com/2017/03/15/disneyafternooncollection1-1489599363001_160h.jpg	Action	Good	PlayStation 4	7.0	http://www.ign.com/articles/2017/04/18/disney-afternoon-collection-review	The Disney Afternoon Collection	11
http://assets2.ignimgs.com/2016/06/22/wonder-boy-hd-buttonjpg-4853bd_160h.jpg	Action	Good	PlayStation 4	7.1	http://www.ign.com/articles/2017/04/17/wonder-boy-the-dragons-trap-review	Wonder Boy: The Dragon's Trap	12
http://assets1.ignimgs.com/2017/04/20/full-throttle-remastered---button-1492715419639_160h.jpg	Adventure	Great	PlayStation 4	8.0	http://www.ign.com/articles/2017/04/18/full-throttle-remastered-review	Full Throttle: Remastered	430
http://assets1.ignimgs.com/2017/04/20/telltale-guardians-of-the-galaxy---standard-button-1492715419632_160h.jpg	Adventure	Great	PlayStation 4	8.5	http://www.ign.com/articles/2017/04/17/marvels-guardians-of-the-galaxy-the-telltale-series-episode-1-tangled-up-in-blue-review	Marvel's Guardians of the Galaxy -- Episode 1: Tangled Up in Blue	14
http://assets2.ignimgs.com/2015/05/22/trove-button-00jpg-ef25fe_160h.jpg	Adventure	Okay	PlayStation 4	6.2	http://www.ign.com/articles/2017/04/11/trove-review	Trove	431
http://assets1.ignimgs.com/2014/12/07/drawn-to-death-button-02jpg-d1900c_160h.jpg	Shooter	Bad	PlayStation 4	4.0	http://www.ign.com/articles/2017/04/08/drawn-to-death-review	Drawn to Death	432
http://assets1.ignimgs.com/2016/09/29/bulletstorm-button-01jpg-fe16da_160h.jpg	Action	Good	PlayStation 4	7.8	http://www.ign.com/articles/2017/04/06/bulletstorm-full-clip-edition-review	Bulletstorm: Full Clip Edition	433
http://assets1.ignimgs.com/2017/03/10/legocityundercoverps4final-1489182228674_160h.jpg	Adventure	Great	PlayStation 4	8.0	http://www.ign.com/articles/2017/04/04/lego-city-undercover-review-2	LEGO City: Undercover	434
http://assets2.ignimgs.com/2016/11/21/snake-pass-buttonjpg-f48a16_160h.jpg	Platformer,Puzzle	Good	PlayStation 4	7.2	http://www.ign.com/articles/2017/04/04/snake-pass-review	Snake Pass	16
http://assets1.ignimgs.com/2017/02/21/persona-5---us-esrb-ps4-1487717931084_160h.jpg	RPG	Amazing	PlayStation 4	9.7	http://www.ign.com/articles/2017/03/29/persona-5-review	Persona 5	435
http://assets1.ignimgs.com/2017/01/31/dark-souls-3-ringed-city---button-0-1485822071075_160h.jpg	Action,RPG	Great	PlayStation 4	8.0	http://www.ign.com/articles/2017/03/27/dark-souls-3-the-ringed-city-review	Dark Souls III: The Ringed City	436
http://assets1.ignimgs.com/2017/03/08/mlbtheshowps4e-1489015855405_160h.jpg	Sports	Amazing	PlayStation 4	9.5	http://www.ign.com/articles/2017/03/27/mlb-the-show-17-review	MLB The Show 17	437
http://assets1.ignimgs.com/2017/04/11/rain-world-button-fin-1491945347241_160h.jpg	Adventure	Okay	PlayStation 4	6.3	http://www.ign.com/articles/2017/03/27/rain-world-review	Rain World	438
http://assets1.ignimgs.com/2017/04/11/has-been-heroes-button-1491945347212_160h.jpg	Action,RPG	Okay	PlayStation 4	6.1	http://www.ign.com/articles/2017/03/24/has-been-heroes-review	Has-Been Heroes	18
http://assets1.ignimgs.com/2017/03/07/masseffectps4-1488844833581_160h.jpg	RPG	Good	PlayStation 4	7.7	http://www.ign.com/articles/2017/03/20/mass-effect-andromeda-review	Mass Effect: Andromeda	439
http://assets1.ignimgs.com/2017/02/03/flatout-4---button-1486080668512_160h.jpg	Racing	Okay	PlayStation 4	6.6	http://www.ign.com/articles/2017/03/17/flatout-4-total-insanity-review	FlatOut 4: Total Insanity	20
http://assets2.ignimgs.com/2016/02/25/styx-shards-of-darkness-buttonjpg-c74b9b_160h.jpg	Action	Good	PlayStation 4	7.8	http://www.ign.com/articles/2017/03/14/styx-shards-of-darkness-review	Styx: Shards of Darkness	21
http://assets1.ignimgs.com/2016/05/27/ghost-recon-wildlands-button-101jpg-6dabdc_160h.jpg	Shooter	Good	PlayStation 4	7.9	http://www.ign.com/articles/2017/03/08/ghost-recon-wildlands-review	Tom Clancy's Ghost Recon: Wildlands	22
http://assets2.ignimgs.com/2015/12/15/psychonauts-in-the-rhombus-of-reason-button-1ajpg-19baf7_160h.jpg	Adventure	Good	PlayStation 4	7.5	http://www.ign.com/articles/2017/03/09/psychonauts-in-the-rhombus-of-ruin-review	Psychonauts In the Rhombus of Ruin	440
http://assets2.ignimgs.com/2016/11/17/nier-automata-us-rp-ps4jpg-f9b77a_160h.jpg	Action,RPG	Great	PlayStation 4	8.9	http://www.ign.com/articles/2017/03/06/nier-automata-review	Nier Automata	441
http://assets2.ignimgs.com/2016/11/03/torment-button-2jpg-f9b33f_160h.jpg	RPG	Great	PlayStation 4	8.8	http://www.ign.com/articles/2017/02/28/torment-tides-of-numenera-review	Torment: Tides of Numenera	24
http://assets1.ignimgs.com/2016/07/15/berserk-button-0jpg-4859af_160h.jpg	Action	Okay	PlayStation 4	6.3	http://www.ign.com/articles/2017/02/21/berserk-and-the-band-of-the-hawk-review	Berserk and The Band of the Hawk	442
http://assets2.ignimgs.com/2016/11/08/horizon-us-rp-ps4jpg-fe23b2_160h.jpg	Adventure	Amazing	PlayStation 4	9.3	http://www.ign.com/articles/2017/02/20/horizon-zero-dawn-review	Horizon: Zero Dawn	443
http://assets1.ignimgs.com/2017/03/13/forhonorps4final-1489448627100_160h.jpg	Action	Great	PlayStation 4	8.0	http://www.ign.com/articles/2017/02/17/for-honor-review	For Honor	444
http://assets1.ignimgs.com/2016/12/07/sniper-elite-4---us-esrb-ps4-1481072062958_160h.jpg	Shooter	Great	PlayStation 4	8.3	http://www.ign.com/articles/2017/02/13/sniper-elite-4-review	Sniper Elite 4	445
http://assets1.ignimgs.com/2016/03/16/divide-buttonjpg-c7523a_160h.jpg	Adventure	Mediocre	PlayStation 4	5.5	http://www.ign.com/articles/2017/02/03/divide-review	Divide	446
http://assets1.ignimgs.com/2015/09/30/nioh-2016jpg-9b2e3b_160h.jpg	Action	Amazing	PlayStation 4	9.6	http://www.ign.com/articles/2017/02/02/nioh-review	Nioh	447
http://assets1.ignimgs.com/2016/12/26/double-dragon-iv---button-1-1482777347173_160h.jpg	Action	Awful	PlayStation 4	3.5	http://www.ign.com/articles/2017/02/01/double-dragon-4-review	Double Dragon IV	448
http://assets1.ignimgs.com/2017/01/17/kingdomhearts-finalchapterprologue-1484694901910_160h.jpg	Action,RPG	Good	PlayStation 4	7.5	http://www.ign.com/articles/2017/01/26/kingdom-hearts-hd-28-final-chapter-prologue-review	Kingdom Hearts HD II.8 -- Final Chapter Prologue	449
http://assets1.ignimgs.com/2017/01/07/talesofberseriafinal-1483749143446_160h.jpg	RPG	Great	PlayStation 4	8.8	http://www.ign.com/articles/2017/01/23/tales-of-berseria-review	Tales Of Berseria	450
