commentCounts	commentLookings	gameReviews
1104	0	http://www.ign.com/articles/2014/05/14/super-time-force-review
2466	1	http://www.ign.com/articles/2014/04/30/the-amazing-spider-man-2-game-review
3836	2	http://www.ign.com/articles/2014/04/28/child-of-light-review
1756	0	http://www.ign.com/articles/2014/04/16/trials-fusion-review
1161	0	http://www.ign.com/articles/2014/04/10/lego-the-hobbit-review
4208	0	http://www.ign.com/articles/2014/04/07/kinect-sports-rivals-review
17020	2	http://www.ign.com/articles/2014/03/18/metal-gear-solid-5-ground-zeroes-review
33939	9	http://www.ign.com/articles/2014/03/10/titanfall-review-2
1180	0	http://www.ign.com/articles/2014/02/25/plants-vs-zombies-garden-warfare-review
11194	2	http://www.ign.com/articles/2014/02/24/thief-review
1034	3	http://www.ign.com/articles/2014/02/18/strider-review
451	0	http://www.ign.com/articles/2014/02/12/the-lego-movie-videogame-review
9808	11	http://www.ign.com/articles/2014/01/24/tomb-raider-definitive-edition-review
4316	0	http://www.ign.com/articles/2014/01/10/halo-spartan-assault-xbox-one-review
188	0	http://www.ign.com/articles/2014/01/10/zumba-fitness-world-party-review
3094	2	http://www.ign.com/articles/2013/12/23/max-the-curse-of-brotherhood-review
1085	3	http://www.ign.com/articles/2013/12/09/peggle-2-review
1231	0	http://www.ign.com/articles/2013/12/02/fifa-14-review
2143	3	http://www.ign.com/articles/2013/11/26/battlefield-4-xbox-one-review
1120	1	http://www.ign.com/articles/2013/11/22/zoo-tycoon-review
5110	1	http://www.ign.com/articles/2013/11/22/the-fighter-within-review
14418	9	http://www.ign.com/articles/2013/11/21/ryse-son-of-rome-review
1003	4	http://www.ign.com/articles/2013/11/20/need-for-speed-rivals-review
6110	0	http://www.ign.com/articles/2013/11/20/forza-motorsport-5-review
1893	0	http://www.ign.com/articles/2013/11/19/nba-live-14-review
29566	3	http://www.ign.com/articles/2013/11/18/dead-rising-3-review
1274	0	http://www.ign.com/articles/2013/11/18/powerstar-golf-review
1275	0	http://www.ign.com/articles/2013/11/18/crimson-dragon-review
659	0	http://www.ign.com/articles/2013/11/18/lococycle-review
7601	7	http://www.ign.com/articles/2013/11/18/killer-instinct-review
349	1	http://www.ign.com/articles/2013/11/15/madden-nfl-25-xbox-one-and-playstation-4-review
2190	1	http://www.ign.com/articles/2013/11/11/nba-2k14-ps4-xbox-one-review
21	9	http://www.ign.com/articles/2013/11/05/call-of-duty-ghosts-review
12	7	http://www.ign.com/articles/2013/10/29/assassins-creed-4-black-flag-review
1191	1	http://www.ign.com/articles/2013/10/22/lego-marvel-super-heroes-review
5653	2	http://www.ign.com/articles/2013/08/26/rayman-legends-review
3729	322	http://www.ign.com/articles/2013/08/15/gone-home-review
31732	9	http://www.ign.com/articles/2015/01/26/dying-light-review
106	54	http://www.ign.com/articles/2016/10/04/hitman-episode-5-colorado-review
2546	267	http://www.ign.com/articles/2017/08/28/mario-rabbids-kingdom-battle-review
232	63	http://www.ign.com/articles/2017/07/31/overcooked-special-edition-review
3096	234	http://www.ign.com/articles/2017/07/24/splatoon-2-review
1187	194	http://www.ign.com/articles/2017/07/03/the-legend-of-zelda-breath-of-the-wild-the-master-trials-dlc-review
3456	377	http://www.ign.com/articles/2017/06/07/arms-review
55	20	http://www.ign.com/articles/2017/06/07/minecraft-switch-edition-review
161	31	http://www.ign.com/articles/2017/04/25/mr-shifty-review
466	80	http://www.ign.com/articles/2017/04/24/puyo-puyo-tetris-review
4475	521	http://www.ign.com/articles/2017/04/20/mario-kart-8-deluxe-review
89	32	http://www.ign.com/articles/2017/04/10/graceful-explosion-machine-review
210	51	http://www.ign.com/articles/2017/04/05/lego-city-undercover-review-2
334	128	http://www.ign.com/articles/2017/03/17/the-binding-of-isaac-afterbirth-review
198	77	http://www.ign.com/articles/2017/03/15/blaster-master-zero-review
